Model,Model Alias,Detail,R2 Score (Train),Adjusted R2 Score (Train),RMSE (Test),R2 Score (Test),Adjusted R2 Score (Test),Cross-Validated RMSE,Cross-Validated R2 Score
Random Forest Regressor-3,rf3,"Features (All), No Pre-process",0.9829468519993064,0.9829326370940544,142265.7525051132,0.8738224853024007,0.8737173081576125,129475.6680593028,0.8740101632581654
Random Forest Regressor-1,rf1,"Features (All), Pre-process",0.982731704946064,0.9827052971543786,141516.3320495636,0.8751483272513415,0.8749573960126045,130135.36492370097,0.8763126231176356
Random Forest Regressor-4,rf4,"min_samples_split = 2, min_samples_leaf = 3, max_features = auto, max_depth = 100, bootstrap = True, Features (All), Pre-process",0.9625710903866994,0.9625138516816047,144843.0830135262,0.8692093317519167,0.869009318217824,131603.22395900515,0.870559954687175
Random Forest Regressor-2,rf2,"Features (corr>0.1), Pre-process",0.9737700302413196,0.9737530277606906,172362.5419086653,0.8147888968204771,0.8146688414706987,158550.17820355092,0.810960065889803
Ridge Regression-2,rm2,"alpha = 10, Features (All), Pre-process",0.7088651925566405,0.7084199704126287,223701.62159370803,0.6880252088218874,0.6875481168292614,200153.8839265885,0.7018056379435077
Lasso Regression-2,lm2,"alpha = 10, Features (All), Pre-process",0.7090084038767637,0.7085634007407488,223188.10052991236,0.6894558801284714,0.6889809760107755,200165.2065513641,0.7017532068664692
Ridge Regression-1,rm1,"alpha = 1, Features (All), Pre-process",0.7090095802619842,0.7085645789249735,223218.5522255618,0.6893711333151007,0.6888960995971063,200167.33809562892,0.7017486248784672
Lasso Regression-1,lm1,"alpha = 1, Features (All), Pre-process",0.7090117925148618,0.708566794560971,223166.633700394,0.6895156151866344,0.689040802419646,200175.5423990645,0.701722122380352
Multiple Linear Regression-4,mlr4,"Features (All), Pre-process",0.7090469089955639,0.7086019647440626,223105.24112007325,0.6896864186382093,0.6892118670748867,200182.208542824,0.7017020255276949
Ridge Regression-3,rm3,"alpha = 100, Features (All), Pre-process",0.7029321785106286,0.7024778832184858,227737.91183246888,0.6766656042407584,0.6761711404073993,202259.4044304032,0.6955689209210345
Multiple Linear Regression-1,mlr1,"Features (All), No Pre-process",0.7022875110139354,0.7020393483390373,226408.0203255724,0.6804308461080721,0.6801644644849335,202505.04119562512,0.694682880254011
Multiple Linear Regression-2,mlr2,"Features (corr>0.1), Pre-process",0.6642860874887115,0.6640684749887042,237056.1832386789,0.6496647691868842,0.6494376790289351,213961.54488355108,0.6589736203379557
Lasso Regression-3,lm3,"alpha = 10, Features (corr>0.1), Pre-process",0.6640632064821554,0.6638454495088593,237086.5883302549,0.6495748946453579,0.649347746229997,213993.93152013127,0.6588642154711986
Ridge Regression-4,rm4,"alpha = 10, Features (corr>0.1), Pre-process",0.6639341096336964,0.6637162689787687,237539.60672105543,0.6482344503374474,0.6480064330351382,214021.9960541727,0.6588060256542357
Multiple Linear Regression-3,mlr3,"Features (corr>0.5), Pre-process",0.5454296334629767,0.5453454849315925,273432.50669089827,0.533897399588378,0.533811116248798,248197.08824559688,0.5412849636160003
Ridge Regression-5,rm5,"alpha = 10, Features (corr>0.5), Pre-process",0.5454295637142339,0.5453454151699382,273434.753928342,0.5338897381180339,0.5338034533601883,248197.4253030036,0.5412841042816154
Simple Linear Regression,slr,sqft_living,0.4938445479924307,-,287447.93246778427,0.4848904322644277,-,261378.2686666379,0.4910862905377124
Support Vector Regression-2,svr2,"C=10, Features (All), Pre-process",-0.0593968596706291,-0.061016957746032566,412873.6135437319,-0.0627117801933236,-0.06433694765921087,377676.896859517,-0.0621062238818511
Support Vector Regression-1,svr1,"C=1, Features (All), Pre-process",-0.0598600269726248,-0.06148083335336984,412979.053020182,-0.0632546392083366,-0.06488063684927806,377707.2573096171,-0.0622723273076232
